,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,EI 050 4HO 24 0.100,,,EI 050 4HO 24 0.100,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,Recocido,Tech cool 10-1,Si,65M800,,,0.0256,1.625,0.0039,18.5,723,2.8197,,,,,
2,EI 050 4HO 24 0.100,,,EI 050 4HO 24 0.100,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,Recocido,Tech cool 10-1,Si,65M800,,,0.0256,1.625,0.0013,18.5,723,0.9399,,,,,
3,EI 050 4HO 26 0.100,,,EI 050 4HO 26 0.100,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,Recocido,Tech cool 10-1,Si,50M470,,,0.0197,1.625,0.003,18.5,940,2.82,,,,,
4,EI 050 4HO 26 0.100,,,EI 050 4HO 26 0.100,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,Recocido,Tech cool 10-1,Si,50M470,,,0.0197,1.625,0.001,18.5,940,0.94,,,,,
5,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,50M350,,,0.0197,2.625,0.0084,18.5,940,7.896,,,,,
6,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,50M350,,,0.0197,2.625,0.0027,18.5,940,2.538,,,,,
7,EI 087 4HO 29 0.156,,,EI 087 4HO 29 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,2.625,0.0058,18.5,1341,7.7778,,,,,
8,EI 087 4HO 29 0.156,,,EI 087 4HO 29 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,2.625,0.0019,18.5,1341,2.5479,,,,,
9,EI 100 4HO 26 0.218,,,EI 100 4HO 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,Cocido,Tech cool 10-1,Si,50M400,50M350,,0.0197,3.000,0.011,9.25,470,5.17,,,,,
10,EI 100 4HO 26 0.218,,,EI 100 4HO 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,Cocido,Tech cool 10-1,Si,50M400,50M350,,0.0197,3.000,0.0035,9.25,470,1.645,,,,,
9,EI 100 4HS 26 0.218,,,EI 100 4HS 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,Cocido,Evaporativo,Si,50M800,,,0.0197,3.000,,9.25,470,0,,,,,
10,EI 100 4HS 26 0.218,,,EI 100 4HS 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,Cocido,Evaporativo,Si,50M800,,,0.0197,3.000,,9.25,470,0,,,,,
